file,name,cellId,x,y,z,aRadius,bRadius,cRadius,theta_x,theta_y,theta_z,brightness,coldBackgroundBrightness,hotBackgroundBrightness,isTrash,isHotBackgroundRegion,backgroundSoftMargin,zInterpolationRatio,zCoordinateSpace,initializerSchemaVersion
SPIMA_t001.tif,embryo_envelope,,218.529925,173.337795,76.6726643,172.405365,80.0741996,47.6662164,-3.13904059,-0.0460727029,2.61030793,0.54565215,0.0661403145,0.54565215,0,1,0.294,4,scaled,2
SPIMA_t001.tif,0,0,345.562415,174.190522,62.5396173,15.2687817,13.5743924,11.2936819,-2.6855023,-0.21658361,-0.790362898,0.941893391,,,0,0,,4,scaled,2
SPIMA_t001.tif,1,1,364.398228,73.975757,66.1486218,18.2543821,14.7557841,14.1028784,-0.586923946,1.11357455,2.19665832,0.962526606,,,0,0,,4,scaled,2
SPIMA_t001.tif,2,2,288.846806,136.117493,66.5091581,12.5002526,10.8373205,9.58165764,-1.08047175,0.490624786,2.0578093,0.900628669,,,0,0,,4,scaled,2
SPIMA_t001.tif,3,3,248.135997,151.607437,76.9367482,31.7618473,29.6362196,20.5448475,0.106780341,0.0687041388,-2.18562446,0.917129198,,,0,0,,4,scaled,2
SPIMA_t001.tif,4,4,125.434194,231.69653,83.6278102,31.0191909,30.1580234,19.8642592,-0.0173896743,0.111209291,2.24327006,0.950044013,,,0,0,,4,scaled,2
