file,name,x,y,z,aRadius,bRadius,cRadius,theta_x,theta_y,theta_z,isTrash
t000.tif,cell_0,386.812,154.191,108.644,48.3583,47.4174,39.4128,-0.162612,-0.0548639,1.08618,0
t000.tif,cell_1,189.606,250.816,110.157,50.4625,47.1368,42.3992,0.234668,0.14722,1.08195,0
t000.tif,cell_2,380.109,365.159,104.306,45.7579,42.2683,37.2478,0.313542,-0.132306,0.854905,0
t000.tif,cell_3,560.437,267.891,119.604,43.1265,40.1333,37.1877,-0.161825,0.150604,-0.792735,0
t000.tif,trash_1,160.89,342.735,36.094,14.519,12.4099,10.3459,1.18033,1.21379,0.321071,1
t000.tif,trash_2,334.692,116.54,141.443,16.6408,13.6524,11.4758,-0.784213,1.19093,0.429855,1
