file,name,cellId,x,y,z,aRadius,bRadius,cRadius,theta_x,theta_y,theta_z,brightness,coldBackgroundBrightness,hotBackgroundBrightness,isTrash,isHotBackgroundRegion,backgroundSoftMargin,zInterpolationRatio,zCoordinateSpace,initializerSchemaVersion
SPIMA_t001.tif,embryo_envelope,,248.865497,166.179179,96.7032083,168.73946,92.8864679,60.4750167,-0.0600166223,-0.162528086,3.05246091,0.504587305,0.0531147892,0.504587305,0,1,0.205,4,scaled,2
SPIMA_t001.tif,0,0,363.110726,142.336486,72.2322323,27.896675,26.7024434,19.9542503,3.06881319,0.131749851,1.65802268,0.90044781,,,0,0,,4,scaled,2
SPIMA_t001.tif,1,1,247.534102,122.262269,79.3667771,25.7034461,24.3006295,14.6232266,3.12486934,-0.475315886,1.81109029,0.999096453,,,0,0,,4,scaled,2
SPIMA_t001.tif,2,2,283.251249,217.818794,110.554472,29.5935786,26.5828462,17.2838045,-3.03663453,-0.0297681579,-2.94631367,0.89859699,,,0,0,,4,scaled,2
SPIMA_t001.tif,3,3,165.922179,161.672083,120.599114,39.4954369,20.8710938,17.5899678,0.0149050145,0.276089883,-2.99936483,1,,,0,0,,4,scaled,2
SPIMA_t001.tif,4,4,98.3308858,191.489688,137.174679,16.687734,15.6984881,10.9716299,-3.07537221,0.017194047,2.43826601,0.907448649,,,0,0,,4,scaled,2
