file,name,cellId,x,y,z,aRadius,bRadius,cRadius,theta_x,theta_y,theta_z,brightness,coldBackgroundBrightness,hotBackgroundBrightness,isTrash,isHotBackgroundRegion,backgroundSoftMargin,zInterpolationRatio,zCoordinateSpace,initializerSchemaVersion
SPIMA_t001.tif,embryo_envelope,,250.288751,174.846836,104.657167,177.494708,76.7754414,55.0893421,-3.04476115,0.0333085832,3.12424235,0.512825922,0.0681576335,0.512825922,0,1,0.05,4,scaled,2
SPIMA_t001.tif,0,0,237.547228,174.422268,71.7481444,23.74591,20.9373733,15.5122843,3.03372669,0.0333553836,-1.91654354,0.96866414,,,0,0,,4,scaled,2
SPIMA_t001.tif,1,1,200.510636,177.255764,80.9272386,9.07210741,8.53755488,7.63951035,-1.66649846,0.996607801,0.309762402,0.968657557,,,0,0,,4,scaled,2
SPIMA_t001.tif,2,2,217.84501,184.515366,85.0319173,14.7348536,13.4958994,11.3718121,1.29807016,-0.0287302269,-1.89374505,0.974282963,,,0,0,,4,scaled,2
SPIMA_t001.tif,3,3,156.546612,169.770353,104.735569,25.0438781,21.926053,15.8913488,-3.13700191,-0.107393125,-1.81179963,0.977053911,,,0,0,,4,scaled,2
SPIMA_t001.tif,4,4,368.88693,186.013006,112.333959,21.6127861,19.3373256,15.2223638,2.95804244,0.132897576,2.0629257,0.981508343,,,0,0,,4,scaled,2
SPIMA_t001.tif,5,5,84.3092421,205.902285,113.087807,14.3698377,13.1782656,11.5720236,3.10996668,0.271152701,2.20036662,0.982979264,,,0,0,,4,scaled,2
SPIMA_t001.tif,6,6,288.43542,172.483432,129.230807,21.7612551,20.330147,15.37225,-0.0421837892,-0.188610351,-0.0706224724,0.980216823,,,0,0,,4,scaled,2
