file,name,cellId,x,y,z,aRadius,bRadius,cRadius,theta_x,theta_y,theta_z,brightness,coldBackgroundBrightness,hotBackgroundBrightness,isTrash,isHotBackgroundRegion,backgroundSoftMargin,zInterpolationRatio,zCoordinateSpace,initializerSchemaVersion
SPIMA_t001.tif,embryo_envelope,,247.44894,149.412295,97.7756689,179.496148,93.9900439,61.1182546,-3.12631489,0.102951597,-2.58423746,0.518188176,0.061035028,0.518188176,0,1,0.229,4,scaled,2
SPIMA_t001.tif,0,0,158.172939,91.9808929,90.2381482,34.5535349,31.8318523,24.1139857,3.01087279,-0.0855304971,0.246572882,0.898335325,,,0,0,,4,scaled,2
SPIMA_t001.tif,1,1,385.626996,267.767864,98.5799398,14.1231129,13.2673311,11.3378085,-3.11674336,0.286572039,2.12164086,0.942132893,,,0,0,,4,scaled,2
SPIMA_t001.tif,2,2,283.401331,174.417743,103.734373,33.4660805,31.1389502,21.5964248,3.03424121,-0.048085519,0.107490583,0.889267739,,,0,0,,4,scaled,2
SPIMA_t001.tif,3,3,351.826427,220.239157,147.081593,14.17781,12.5486338,10.6385768,-0.310791044,-0.154328525,-1.54060845,0.924092877,,,0,0,,4,scaled,2
