file,name,cellId,x,y,z,aRadius,bRadius,cRadius,theta_x,theta_y,theta_z,brightness,coldBackgroundBrightness,hotBackgroundBrightness,isTrash,isHotBackgroundRegion,backgroundSoftMargin,zInterpolationRatio,zCoordinateSpace,initializerSchemaVersion
SPIMA_t001.tif,embryo_envelope,,239.796697,155.20595,113.601446,187.008888,85.5096055,53.1486393,-3.10435758,-0.0045331783,3.1039835,0.508931431,0.0541216622,0.508931431,0,1,0.261,4,scaled,2
SPIMA_t001.tif,0,0,399.159483,133.330989,114.416206,17.4747267,14.1046887,12.2214072,1.40777301,-1.31414248,-0.888159873,0.999996185,,,0,0,,4,scaled,2
SPIMA_t001.tif,1,1,288.659989,160.038397,115.069636,28.410564,27.2394827,19.0482098,3.11139503,-0.0108491301,2.59707495,0.976108842,,,0,0,,4,scaled,2
SPIMA_t001.tif,2,2,139.967003,158.235948,116.889974,29.348558,28.6112577,20.1027131,3.02955766,0.0322264181,-2.71155427,0.983003527,,,0,0,,4,scaled,2
SPIMA_t001.tif,3,3,381.57192,126.525765,128.015214,14.1697558,12.2532022,11.1998067,1.81389175,-1.159504,-2.65614712,0.999976993,,,0,0,,4,scaled,2
