file,name,cellId,x,y,z,aRadius,bRadius,cRadius,theta_x,theta_y,theta_z,brightness,coldBackgroundBrightness,hotBackgroundBrightness,isTrash,isHotBackgroundRegion,backgroundSoftMargin,zInterpolationRatio,zCoordinateSpace,initializerSchemaVersion
SPIMA_t001.tif,embryo_envelope,,231.261522,161.949863,97.234858,175.78396,84.5619034,54.8080112,-2.96932644,-0.102714513,-3.03962709,0.465829984,0.0473599822,0.465829984,0,1,0.218,4,scaled,2
SPIMA_t001.tif,0,0,245.896711,200.799173,69.3593289,24.5430877,21.8837704,14.8310416,-3.12110869,0.0190168267,-1.28167703,0.987506688,,,0,0,,4,scaled,2
SPIMA_t001.tif,1,1,362.769504,170.545822,82.8437148,23.3033445,22.2661884,16.9945986,2.98187851,0.0532408668,1.39448681,0.994933128,,,0,0,,4,scaled,2
SPIMA_t001.tif,2,2,138.004943,147.752278,111.405026,26.9202441,24.4627257,18.0018496,3.12042647,0.0449895968,2.40671593,0.997850418,,,0,0,,4,scaled,2
SPIMA_t001.tif,3,3,67.689244,146.561536,113.408738,15.4494088,13.8566209,12.0902455,-0.71687178,-1.08023934,-1.52057106,0.997292936,,,0,0,,4,scaled,2
SPIMA_t001.tif,4,4,165.805866,166.405658,121.579944,20.6382902,13.2347984,12.6090237,0.529170836,0.903718988,-2.79848136,1,,,0,0,,4,scaled,2
SPIMA_t001.tif,5,5,252.007716,140.638115,123.818686,28.3643598,23.9413171,18.0128074,-3.05457132,-0.0979966999,1.66583169,0.990727484,,,0,0,,4,scaled,2
