file,name,cellId,x,y,z,aRadius,bRadius,cRadius,theta_x,theta_y,theta_z,brightness,coldBackgroundBrightness,hotBackgroundBrightness,isTrash,isHotBackgroundRegion,backgroundSoftMargin,zInterpolationRatio,zCoordinateSpace,initializerSchemaVersion
SPIMA_t001.tif,embryo_envelope,,211.767016,162.514535,93.062324,162.586631,87.0563926,53.07112,-3.11778418,-0.215320838,-2.78795448,0.517826259,0.0520121537,0.517826259,0,1,0.25,4,scaled,2
SPIMA_t001.tif,0,0,306.987678,186.209517,64.718996,27.4248476,25.2962776,18.0817219,3.08001092,-0.0657230625,-1.42471346,0.974227497,,,0,0,,4,scaled,2
SPIMA_t001.tif,1,1,207.539355,229.00998,86.855362,27.22549,25.5054737,16.9897842,0.0947271535,-0.0559715499,3.06199575,0.975428235,,,0,0,,4,scaled,2
SPIMA_t001.tif,2,2,223.071133,136.900242,92.7109111,26.0036053,14.9440851,14.246208,-3.1410695,-1.25085439,1.63526516,1,,,0,0,,4,scaled,2
SPIMA_t001.tif,3,3,247.847964,137.861309,103.419181,16.286571,13.4986053,12.578509,-2.74325412,1.19541193,2.06032268,1,,,0,0,,4,scaled,2
SPIMA_t001.tif,4,4,121.083561,126.412311,112.110893,15.9784664,14.349103,12.6744635,-2.57770986,1.05885667,2.09256915,0.999615192,,,0,0,,4,scaled,2
SPIMA_t001.tif,5,5,78.0505255,91.942002,128.182776,18.8743276,13.3499764,11.5132153,1.7148987,-1.23472334,-1.4146971,0.967119294,,,0,0,,4,scaled,2
SPIMA_t001.tif,6,6,142.595689,130.882284,131.096299,14.3809205,12.5838739,11.7417346,2.01329276,-0.704980205,-1.551639,0.999823272,,,0,0,,4,scaled,2
